T33,Tourist/visitor arrivals and tourism expenditure,,,,,,,
Region/Country/Area,,Year,Series,Tourism arrivals series type,Tourism arrivals series type footnote,Value,Footnotes,Source
28,Antigua and Barbuda,2018,Tourist/visitor arrivals (thousands),TF,,269,Excluding nationals residing abroad.;Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
28,Antigua and Barbuda,1995,Tourism expenditure (millions of US dollars),,,247,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
28,Antigua and Barbuda,2005,Tourism expenditure (millions of US dollars),,,309,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
28,Antigua and Barbuda,2010,Tourism expenditure (millions of US dollars),,,298,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
28,Antigua and Barbuda,2016,Tourism expenditure (millions of US dollars),,,753,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
28,Antigua and Barbuda,2017,Tourism expenditure (millions of US dollars),,,737,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
28,Antigua and Barbuda,2018,Tourism expenditure (millions of US dollars),,,881,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
32,Argentina,1995,Tourist/visitor arrivals (thousands),TF,,2289,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
32,Argentina,2005,Tourist/visitor arrivals (thousands),TF,,3823,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
32,Argentina,2010,Tourist/visitor arrivals (thousands),TF,,6800,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
32,Argentina,2016,Tourist/visitor arrivals (thousands),TF,,6668,Break in the time series.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
32,Argentina,2017,Tourist/visitor arrivals (thousands),TF,,6711,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
32,Argentina,2018,Tourist/visitor arrivals (thousands),TF,,6942,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
32,Argentina,1995,Tourism expenditure (millions of US dollars),,,2550,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
32,Argentina,2005,Tourism expenditure (millions of US dollars),,,3209,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
32,Argentina,2010,Tourism expenditure (millions of US dollars),,,5605,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
32,Argentina,2016,Tourism expenditure (millions of US dollars),,,5466,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
32,Argentina,2017,Tourism expenditure (millions of US dollars),,,5835,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
32,Argentina,2018,Tourism expenditure (millions of US dollars),,,5999,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
51,Armenia,1995,Tourist/visitor arrivals (thousands),TF,,12,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
51,Armenia,2005,Tourist/visitor arrivals (thousands),TF,,319,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
51,Armenia,2010,Tourist/visitor arrivals (thousands),TF,,684,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
51,Armenia,2016,Tourist/visitor arrivals (thousands),TF,,1260,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
51,Armenia,2017,Tourist/visitor arrivals (thousands),TF,,1495,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
51,Armenia,2018,Tourist/visitor arrivals (thousands),TF,,1652,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
51,Armenia,1995,Tourism expenditure (millions of US dollars),,,14,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
51,Armenia,2005,Tourism expenditure (millions of US dollars),,,243,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
51,Armenia,2010,Tourism expenditure (millions of US dollars),,,694,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
51,Armenia,2016,Tourism expenditure (millions of US dollars),,,988,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
51,Armenia,2017,Tourism expenditure (millions of US dollars),,,1140,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
51,Armenia,2018,Tourism expenditure (millions of US dollars),,,1237,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
533,Aruba,1995,Tourist/visitor arrivals (thousands),TF,,619,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
533,Aruba,2005,Tourist/visitor arrivals (thousands),TF,,733,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
533,Aruba,2010,Tourist/visitor arrivals (thousands),TF,,824,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
533,Aruba,2016,Tourist/visitor arrivals (thousands),TF,,1102,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
533,Aruba,2017,Tourist/visitor arrivals (thousands),TF,,1070.5,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
533,Aruba,2018,Tourist/visitor arrivals (thousands),TF,,1082,Arrivals by air.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
533,Aruba,1995,Tourism expenditure (millions of US dollars),,,554,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
533,Aruba,2005,Tourism expenditure (millions of US dollars),,,1097,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
533,Aruba,2010,Tourism expenditure (millions of US dollars),,,1254,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
533,Aruba,2016,Tourism expenditure (millions of US dollars),,,1764,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
533,Aruba,2017,Tourism expenditure (millions of US dollars),,,1857,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
533,Aruba,2018,Tourism expenditure (millions of US dollars),,,2024,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
36,Australia,1995,Tourist/visitor arrivals (thousands),VF,,3726,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
36,Australia,2005,Tourist/visitor arrivals (thousands),VF,,5499,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
36,Australia,2010,Tourist/visitor arrivals (thousands),VF,,5790,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
36,Australia,2016,Tourist/visitor arrivals (thousands),VF,,8269,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
36,Australia,2017,Tourist/visitor arrivals (thousands),VF,,8815,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
36,Australia,2018,Tourist/visitor arrivals (thousands),VF,,9246,Excluding nationals residing abroad and crew members.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
36,Australia,1995,Tourism expenditure (millions of US dollars),,,10370,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
36,Australia,2005,Tourism expenditure (millions of US dollars),,,19719,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
36,Australia,2010,Tourism expenditure (millions of US dollars),,,31064,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
36,Australia,2016,Tourism expenditure (millions of US dollars),,,39059,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
36,Australia,2017,Tourism expenditure (millions of US dollars),,,43975,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
36,Australia,2018,Tourism expenditure (millions of US dollars),,,47327,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
40,Austria,1995,Tourist/visitor arrivals (thousands),TCE,,17173,Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
40,Austria,2005,Tourist/visitor arrivals (thousands),TCE,,19952,Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
40,Austria,2010,Tourist/visitor arrivals (thousands),TCE,,22004,Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
40,Austria,2016,Tourist/visitor arrivals (thousands),TCE,,28121,Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
40,Austria,2017,Tourist/visitor arrivals (thousands),TCE,,29460,Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
40,Austria,2018,Tourist/visitor arrivals (thousands),TCE,,30816,Only paid accommodation; excluding stays at friends and relatives and second homes.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
40,Austria,1995,Tourism expenditure (millions of US dollars),,,13435,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
40,Austria,2005,Tourism expenditure (millions of US dollars),,,16243,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
40,Austria,2010,Tourism expenditure (millions of US dollars),,,18751,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
40,Austria,2016,Tourism expenditure (millions of US dollars),,,19244,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
40,Austria,2017,Tourism expenditure (millions of US dollars),,,20333,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
40,Austria,2018,Tourism expenditure (millions of US dollars),,,23233,Excluding passenger transport.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
31,Azerbaijan,2005,Tourist/visitor arrivals (thousands),TF,,693,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
31,Azerbaijan,2010,Tourist/visitor arrivals (thousands),TF,,1280,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
31,Azerbaijan,2016,Tourist/visitor arrivals (thousands),TF,,2044,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
31,Azerbaijan,2017,Tourist/visitor arrivals (thousands),TF,,2454,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
31,Azerbaijan,2018,Tourist/visitor arrivals (thousands),TF,,2633,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
31,Azerbaijan,1995,Tourism expenditure (millions of US dollars),,,87,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
31,Azerbaijan,2005,Tourism expenditure (millions of US dollars),,,100,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
31,Azerbaijan,2010,Tourism expenditure (millions of US dollars),,,792,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
31,Azerbaijan,2016,Tourism expenditure (millions of US dollars),,,2855,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
31,Azerbaijan,2017,Tourism expenditure (millions of US dollars),,,3214,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
31,Azerbaijan,2018,Tourism expenditure (millions of US dollars),,,2830,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
44,Bahamas,1995,Tourist/visitor arrivals (thousands),TF,,1598,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
44,Bahamas,2005,Tourist/visitor arrivals (thousands),TF,,1608,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
44,Bahamas,2010,Tourist/visitor arrivals (thousands),TF,,1370,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
44,Bahamas,2016,Tourist/visitor arrivals (thousands),TF,,1500,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
44,Bahamas,2017,Tourist/visitor arrivals (thousands),TF,,1442,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
44,Bahamas,2018,Tourist/visitor arrivals (thousands),TF,,1633,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
44,Bahamas,1995,Tourism expenditure (millions of US dollars),,,1356,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
44,Bahamas,2005,Tourism expenditure (millions of US dollars),,,2081,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
44,Bahamas,2010,Tourism expenditure (millions of US dollars),,,2159,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
44,Bahamas,2016,Tourism expenditure (millions of US dollars),,,3091,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
44,Bahamas,2017,Tourism expenditure (millions of US dollars),,,3017,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
44,Bahamas,2018,Tourism expenditure (millions of US dollars),,,3383,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
48,Bahrain,1995,Tourist/visitor arrivals (thousands),VF,,2311,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
48,Bahrain,2005,Tourist/visitor arrivals (thousands),VF,,6313,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
48,Bahrain,2010,Tourist/visitor arrivals (thousands),VF,,11952,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
48,Bahrain,2016,Tourist/visitor arrivals (thousands),VF,,10158,Break in the time series.;Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
48,Bahrain,2017,Tourist/visitor arrivals (thousands),VF,,11374,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
48,Bahrain,2018,Tourist/visitor arrivals (thousands),VF,,12045,Excluding nationals residing abroad.,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
48,Bahrain,1995,Tourism expenditure (millions of US dollars),,,593,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
48,Bahrain,2005,Tourism expenditure (millions of US dollars),,,1603,,"World Tourism Organization (UNWTO), Madrid, the UNWTO Statistics Database, last accessed January 2020."
